===== ROBUSTNESS SNAPSHOT =====
 id    refresh_id                   ts                            version              source_edge_id  symbol   side         family_name                     setup                      profile           horizon_min  n           avg_r                  lcb_r               winrate          worst_r      best_r    recent20_n     recent20_avg_r          recent20_lcb_r      recent20_winrate  recent50_n     recent50_avg_r         recent50_lcb_r       recent50_winrate        decay_guard       overfit_penalty  robustness_score    validation_state     canary_permission                                                                         hard_vetoes                                                                                                           payload
----  -------------  --------------------------------  ------------------------------  --------------  -------  -----  ------------------------  -----------------------------  ------------------------  -----------  --  ---------------------  ---------------------  ------------------  -----------  ----------  ----------  ---------------------  ----------------------  ----------------  ----------  ---------------------  ---------------------  ------------------  ---------------------  ---------------  ----------------  ---------------------  -----------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------------------------
4501  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7201  ETHUSDT  SHORT  BOUNCE_FADE_TREND_FAMILY  UAL2_BOUNCE_FADE_SHORT         SWING_240_TP2_5_SL1_2             240  39    0.10017237871794872   0.042941860556712688  71.794871794871796  -0.40342119  0.75946445          20           0.0452848745   -0.013164538494323509              65.0          39    0.10017237871794872   0.042941860556712688  71.794871794871796  -0.054887504217948718              0.0           64.5255  ROBUST_EDGE_READY                      1  []                                                                                                                                                          {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4503  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7203  ETHUSDT  SHORT  REBOUND_PULLBACK_FAMILY   UAL2_SQUEEZE_REVERSAL_SHORT    SWING_240_TP2_5_SL1_2             240  40            0.090247238   0.033953193615789384                72.5  -0.44485671  0.68512304          20            0.054643463  -0.0073764480501749066              60.0          40            0.090247238   0.033953193615789384                72.5   -0.03560377499999999              0.0            57.828  ROBUST_EDGE_READY                      1  []                                                                                                                                                          {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4502  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7202  ETHUSDT  SHORT  BOUNCE_FADE_TREND_FAMILY  UAL2_TREND_CONTINUATION_SHORT  SWING_240_TP2_5_SL1_2             240  40   0.081632018250000007   0.030039704210995631                72.5  -0.44485671  0.47005478          20            0.070917712   0.0047641721690003386              60.0          40   0.081632018250000007   0.030039704210995631                72.5  -0.010714306250000014              0.0           56.5928  ROBUST_EDGE_READY                      1  []                                                                                                                                                          {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4513  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7213  ETHUSDT  SHORT  REBOUND_PULLBACK_FAMILY   UAL2_SQUEEZE_REVERSAL_SHORT    INTRADAY_120_TP2_0_SL1_1          120  42   0.068915056190476193  -0.036072353719129452  54.761904761904759         -1.0  1.81818182          20           0.0507998755    -0.01683177321476851              55.0          42   0.068915056190476193  -0.036072353719129452  54.761904761904759  -0.018115180690476192              0.0           23.3662  ROBUST_EDGE_CANDIDATE                  0  ["LCB_NOT_POSITIVE","WINRATE_LT_55","WORST_GE_1R_LOSS"]                                                                                                     {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4511  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7211  ETHUSDT  LONG   REBOUND_PULLBACK_FAMILY   UAL2_REBOUND_LONG              SCALP_15_TP1_2_SL1_0               15  50           0.0303396196  -0.043450067969927612                62.0  -0.91722001  0.76482556          20            0.025805347   -0.091067327921840025              60.0          50           0.0303396196  -0.043450067969927612                62.0          -0.0045342726              0.0           18.2857  ROBUSTNESS_BLOCK                       0  ["LCB_NOT_POSITIVE","AVG_LT_006R"]                                                                                                                          {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4510  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7210  ETHUSDT  SHORT  BOUNCE_FADE_TREND_FAMILY  UAL2_BOUNCE_FADE_SHORT         INTRADAY_120_TP2_0_SL1_1          120  41   0.074224862926829269   0.001079204517936902  51.219512195121951  -0.53540322  0.79825216          20   0.025602652999999993   -0.055853724541219285              50.0          41   0.074224862926829269   0.001079204517936902  51.219512195121951   -0.04862220992682928              0.0           15.9032  ROBUST_EDGE_CANDIDATE                  0  ["WINRATE_LT_55"]                                                                                                                                           {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4504  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7204  BTCUSDT  LONG   REBOUND_PULLBACK_FAMILY   UAL2_SQUEEZE_REVERSAL_LONG     SWING_240_TP2_5_SL1_2             240  40          0.03137169825  -0.058819212365372707                57.5         -1.0  0.58508305          20  -0.033751521999999992    -0.12110864578388532              40.0          40          0.03137169825  -0.058819212365372707                57.5         -0.06512322025             50.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT20_NEGATIVE_WHILE_FULL_POSITIVE","RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WORST_GE_1R_LOSS","RECENT20_TOXIC"]                  {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4505  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7205  BTCUSDT  LONG   REBOUND_PULLBACK_FAMILY   UAL2_TREND_PULLBACK_LONG       SWING_240_TP2_5_SL1_2             240  40          0.03137169825  -0.058819212365372707                57.5         -1.0  0.58508305          20  -0.033751521999999992    -0.12110864578388532              40.0          40          0.03137169825  -0.058819212365372707                57.5         -0.06512322025             50.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT20_NEGATIVE_WHILE_FULL_POSITIVE","RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WORST_GE_1R_LOSS","RECENT20_TOXIC"]                  {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4506  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7206  ETHUSDT  LONG   REBOUND_PULLBACK_FAMILY   UAL2_SQUEEZE_REVERSAL_LONG     SCALP_15_TP1_2_SL1_0               15  47  -0.034838270851063828   -0.11198891629870766  57.446808510638299         -1.0  0.65933238          20   0.024126347000000003   -0.078773901315409664              65.0          47  -0.034838270851063828   -0.11198891629870766  57.446808510638299   0.058964617851063828             20.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WORST_GE_1R_LOSS"]                                                                           {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
