===== TABLE LIST =====
type                    name
-----  ---------------------------------------
table  alerts
table  alpha_bayesian_posterior_audit_v5
table  alpha_bayesian_posterior_v5
table  alpha_cluster_aggregator_audit_v6
table  alpha_cluster_aggregator_v6
table  alpha_evidence_tensor_audit_v5
table  alpha_evidence_tensor_v5
table  alpha_meta_governance_audit_v5
table  alpha_meta_governance_v5
table  alpha_promotion_contract_audit_v5
table  alpha_promotion_contract_v5
table  alpha_realtime_scores_v2
table  alpha_research_audit_v2
table  alpha_research_edges_v2
table  alpha_research_features_v2
table  alpha_triple_barrier_labels_v2
table  bayesian_evidence_scores_v1
table  candles
table  decisions
table  derivatives_snapshots
table  edge_memory
table  edge_robustness_validator_v9
table  evidence_hygiene_summary_v1
table  evidence_registry_audit_v1
table  features
table  forward_cases
table  forward_results
table  institutional_control_plane_audit_v6
table  institutional_control_plane_v6
table  institutional_control_plane_v7
table  institutional_control_plane_v9
table  institutional_edge_factory_audit_v8
table  institutional_edge_factory_v8
table  liquidity_features_v1
table  liquidity_liquidation_events_v1
table  liquidity_source_health_v1
table  macro_snapshots
table  market_snapshots
table  micro_canary_outcome_feedback_v9
table  news_events
table  orderflow_snapshots
table  outcome_provenance_v1
table  paper_micro_canary_audit_v9
table  paper_micro_canary_positions_v9
table  position_events
table  positions
table  regime_adaptive_router_v6
table  research_promotion_decisions_v1
table  runtime_control_audit
table  runtime_events
table  sqlite_sequence
table  sqlite_stat1
table  state_integrity_events
table  trades
table  universal_shadow_alpha_audit_v2
table  universal_shadow_cases_v2
table  universal_shadow_registry_v2
table  universal_shadow_results_v2
view   evidence_clean_positions_v1
view   evidence_clean_trades_v1
view   evidence_positions_with_provenance_v1
view   latest_alpha_bayesian_posterior_v5
view   latest_alpha_cluster_aggregator_v6
view   latest_alpha_evidence_tensor_v5
view   latest_alpha_meta_governance_v5
view   latest_alpha_promotion_contract_v5
view   latest_alpha_realtime_scores_v2
view   latest_alpha_research_edges_v2
view   latest_bayesian_evidence_v1
view   latest_edge_robustness_validator_v9
view   latest_institutional_control_plane_v6
view   latest_institutional_control_plane_v7
view   latest_institutional_control_plane_v9
view   latest_institutional_edge_factory_v8
view   latest_micro_canary_outcome_feedback_v9
view   latest_regime_adaptive_router_v6
view   latest_research_promotion_v1
view   latest_universal_shadow_registry_v2
